Race,Date,WPM,Accuracy,Text,Outcome
6912.,2017-11-02 22:07:32,189.77,99%,3810900,Win (1 of 3)
6911.,2017-11-02 22:06:42,200.66,99%,3621515,Win (1 of 3)
6910.,2017-11-02 22:06:05,163.29,99%,3100084,Win (1 of 5)
6909.,2017-11-02 22:04:12,147.27,98%,436,Win (1 of 2)
6908.,2017-11-02 22:03:02,158.17,98%,3810864,Win (1 of 2)
6907.,2017-11-02 22:02:03,182.34,99%,3621145,Win (1 of 2)
6906.,2017-11-02 22:00:26,163.59,98%,119,Win (1 of 5)
6905.,2017-11-02 21:59:53,170.04,99%,3641216,Win (1 of 4)
6904.,2017-11-02 21:59:12,146.86,97%,3640429,Win (1 of 3)
6903.,2017-11-02 21:58:18,177.37,99%,3621461,Win (1 of 3)
6902.,2017-11-02 21:57:33,150.63,98%,3621451,Win (1 of 4)
6901.,2017-11-02 21:53:10,168.89,99%,3640281,Win (1 of 3)
6900.,2017-11-02 21:51:52,162.67,98%,3810199,Win (1 of 2)
6899.,2017-11-02 21:51:29,137.94,98%,3810199,No win (2 of 2)
6898.,2017-11-02 21:50:49,153.94,97%,3620628,Win (1 of 2)
6897.,2017-11-02 21:46:12,179.97,98%,3811391,Win (1 of 3)
6896.,2017-11-02 21:44:20,182.15,98%,3810831,Win (1 of 3)
6895.,2017-11-02 21:42:29,165.33,98%,3811094,Win (1 of 3)
6894.,2017-11-02 21:25:37,164.05,98%,3550321,Win (1 of 5)
6893.,2017-11-02 21:24:42,197.91,99%,3620146,Win (1 of 4)
6892.,2017-11-02 21:24:02,174.32,99%,3640356,Win (1 of 3)
6891.,2017-11-02 21:23:27,187.25,99%,3620470,Win (1 of 4)
6890.,2017-11-02 21:22:55,155.86,97%,3550097,No win (2 of 4)
6889.,2017-11-02 21:22:17,170.40,98%,3550174,Win (1 of 3)
6888.,2017-11-02 21:21:42,161.86,97%,3620914,No win (2 of 3)
6887.,2017-11-02 21:20:54,156.23,97%,3100055,Win (1 of 5)
6886.,2017-11-02 21:20:00,195.02,100%,3810115,Win (1 of 4)
6885.,2017-11-02 21:19:30,151.61,97%,3641101,No win (2 of 4)
6884.,2017-11-02 21:18:53,231.26,100%,3640439,Win (1 of 5)
6883.,2017-11-02 21:18:24,183.84,99%,3550250,Win (1 of 5)
6882.,2017-11-02 21:17:33,165.98,99%,3810091,Win (1 of 4)
6881.,2017-11-02 21:16:56,169.44,99%,3810631,Win (1 of 4)
6880.,2017-11-02 21:15:58,192.44,99%,3621118,Win (1 of 5)
6879.,2017-11-02 21:15:33,160.14,98%,3620568,No win (3 of 4)
6878.,2017-11-02 21:15:01,173.72,99%,3810124,Win (1 of 2)
6877.,2017-11-02 21:14:32,142.63,98%,3550147,No win (2 of 5)
6876.,2017-11-02 21:13:46,183.46,97%,3100067,Win (1 of 4)
6875.,2017-11-02 21:13:20,160.37,98%,3622207,No win (2 of 4)
6874.,2017-11-02 21:12:35,157.93,98%,3811049,Win (1 of 5)
6873.,2017-11-02 21:11:57,149.77,98%,3811079,Win (1 of 3)
6872.,2017-11-02 21:11:19,165.34,98%,3810353,Win (1 of 4)
6871.,2017-11-02 21:10:52,160.21,98%,3810540,No win (2 of 4)
6870.,2017-11-02 21:07:41,175.25,99%,3641052,Win (1 of 4)
6869.,2017-11-02 21:06:58,127.18,95%,3810802,No win (3 of 5)
6868.,2017-11-02 21:06:24,167.73,98%,3622349,Win (1 of 3)
6867.,2017-11-02 21:05:44,150.42,98%,3640596,Win (1 of 4)
6866.,2017-11-02 21:04:35,164.79,99%,3550128,Win (1 of 4)
6865.,2017-11-02 21:03:49,125.04,96%,3622310,No win (2 of 3)
6864.,2017-11-02 21:03:03,149.71,98%,3100094,Win (1 of 3)
6863.,2017-11-02 21:02:20,201.66,100%,3810702,Win (1 of 4)
6862.,2017-11-02 21:00:13,195.35,99%,3641212,Win (1 of 4)
6861.,2017-11-02 16:40:47,220.57,100%,3641191,Win (1 of 2)
6860.,2017-11-02 16:28:27,209.04,100%,3641191,Win (1 of 2)
6859.,2017-10-26 21:34:28,162.15,99%,3640704,Win (1 of 2)
6858.,2017-10-17 21:52:00,172.61,99%,3810851,No win (1 of 1)
6857.,2017-10-17 21:51:04,196.32,99%,72,No win (1 of 1)
6856.,2017-10-17 21:47:39,230.86,100%,3621688,Win (1 of 2)
6855.,2017-10-17 21:36:28,181.24,99%,3640927,Win (1 of 2)
6854.,2017-10-17 21:35:14,162.09,99%,3640666,No win (1 of 1)
6853.,2017-10-17 21:33:47,178.41,98%,3811149,Win (1 of 2)
6852.,2017-10-17 21:31:51,172.15,99%,3810842,No win (1 of 1)
6851.,2017-10-17 21:31:02,161.83,99%,3550291,No win (1 of 1)
6850.,2017-10-17 21:28:59,207.51,99%,320,Win (1 of 2)
6849.,2017-10-15 20:32:01,167.88,98%,3550244,No win (1 of 1)
6848.,2017-10-15 20:31:17,263.64,100%,3550074,Win (1 of 2)
6847.,2017-10-15 20:28:26,193.08,99%,403,No win (1 of 1)
6846.,2017-10-15 20:26:05,193.16,100%,3620361,Win (1 of 2)
6845.,2017-10-15 20:23:22,190.29,99%,3622249,No win (1 of 1)
6844.,2017-10-15 20:20:27,197.06,99%,3550054,No win (1 of 1)
6843.,2017-10-15 20:19:32,195.66,99%,3810661,No win (1 of 1)
6842.,2017-10-15 20:15:27,162.54,97%,3810719,No win (1 of 1)
6841.,2017-10-15 20:08:21,206.88,99%,3640313,Win (1 of 2)
6840.,2017-10-15 20:00:52,208.65,100%,3810703,Win (1 of 2)
6839.,2017-10-11 03:31:44,199.53,100%,3640365,Win (1 of 2)
6838.,2017-10-11 03:25:36,122.57,97%,3640365,Win (1 of 3)
6837.,2017-10-11 03:24:46,174.72,99%,3621000,Win (1 of 4)
6836.,2017-10-11 03:22:28,178.28,99%,3100008,Win (1 of 2)
6835.,2017-10-11 03:21:46,165.81,98%,3622266,Win (1 of 3)
6834.,2017-10-11 03:19:06,179.26,100%,3641249,Win (1 of 3)
6833.,2017-10-11 03:11:52,212.87,100%,3550342,Win (1 of 2)
6832.,2017-10-11 03:04:21,171.29,99%,687,Win (1 of 3)
6831.,2017-10-11 03:00:11,166.05,99%,3811398,Win (1 of 3)
6830.,2017-10-11 02:55:25,188.44,99%,319,Win (1 of 3)
6829.,2017-10-11 02:51:55,180.34,98%,122,Win (1 of 3)
6828.,2017-10-11 02:51:11,170.54,99%,3641141,Win (1 of 3)
6827.,2017-10-11 02:50:42,185.27,99%,3620859,Win (1 of 3)
6826.,2017-10-11 02:49:57,178.98,99%,3810168,Win (1 of 3)
6825.,2017-10-11 02:48:58,202.63,99%,17,Win (1 of 2)
6824.,2017-10-11 02:48:11,168.89,99%,17,Win (1 of 3)
6823.,2017-10-11 02:47:27,179.83,98%,3640358,Win (1 of 3)
6822.,2017-10-11 02:46:47,158.01,99%,3622089,Win (1 of 2)
6821.,2017-10-11 02:45:27,179.46,98%,361,Win (1 of 2)
6820.,2017-10-11 02:44:57,156.67,98%,361,Win (1 of 4)
6819.,2017-10-11 02:44:14,167.96,99%,3550344,Win (1 of 3)
6818.,2017-10-11 02:43:08,160.05,96%,3100063,Win (1 of 3)
6817.,2017-10-11 02:41:32,194.07,100%,3811020,Win (1 of 4)
6816.,2017-10-11 02:40:28,155.12,100%,3620224,Win (1 of 3)
6815.,2017-10-11 02:39:56,178.05,99%,3810122,Win (1 of 2)
6814.,2017-10-11 02:39:01,136.69,98%,3810122,Win (1 of 3)
6813.,2017-10-11 02:38:18,195.71,100%,3641236,Win (1 of 2)
6812.,2017-10-11 02:37:50,152.28,98%,3641236,Win (1 of 2)
6811.,2017-10-09 02:24:59,215.35,100%,3640149,Win (1 of 2)
6810.,2017-09-22 21:02:47,180.84,98%,3811061,Win (1 of 3)
6809.,2017-09-22 21:01:46,159.59,98%,3550202,Win (1 of 2)
6808.,2017-09-22 20:57:32,174.84,99%,3620539,Win (1 of 4)
6807.,2017-09-22 20:57:02,194.98,99%,3621180,Win (1 of 4)
6806.,2017-09-22 20:56:28,155.10,98%,3810305,No win (2 of 4)
6805.,2017-09-22 20:55:54,177.43,98%,3550028,Win (1 of 5)
6804.,2017-09-22 20:55:20,176.20,99%,515,Win (1 of 3)
6803.,2017-09-22 20:54:38,159.91,97%,3550009,No win (2 of 5)
6802.,2017-09-22 20:53:00,205.27,100%,3640128,Win (1 of 2)
6801.,2017-09-22 20:49:35,171.50,99%,3811036,No win (1 of 1)
6800.,2017-09-22 20:48:48,155.82,98%,3640666,No win (1 of 1)
6799.,2017-09-22 20:47:24,182.11,99%,73,No win (1 of 1)
6798.,2017-09-16 18:08:09,163.24,98%,3641368,No win (1 of 1)
6797.,2017-09-16 18:00:57,219.18,100%,3810416,Win (1 of 2)
6796.,2017-09-16 17:47:47,217.39,100%,3811435,No win (1 of 1)
6795.,2017-09-15 21:58:48,179.21,99%,198,No win (1 of 1)
6794.,2017-09-09 20:54:38,206.14,100%,3550280,Win (1 of 3)
6793.,2017-09-09 20:53:36,193.29,98%,3622443,Win (1 of 3)
6792.,2017-09-09 20:52:54,102.54,95%,3100101,Win (1 of 2)
6791.,2017-09-09 20:51:48,185.71,99%,3811275,Win (1 of 3)
6790.,2017-09-09 20:50:37,180.86,97%,3640846,Win (1 of 3)
